ncbi_gene_id,Index,Score,claim_name
5594,14474,0.00053066673,MAPK1
5595,15028,0.00052625895,MAPK3
3265,9381,0.00046459233,HRAS
2885,10822,0.00044192447,GRB2
5290,13306,0.0004387152,PIK3CA
207,6300,0.00041692742,AKT1
5295,13731,0.00039445527,PIK3R1
6654,21611,0.0003866613,SOS1
5604,14577,0.00038296232,MAP2K1
3845,10561,0.0003711555,KRAS
5894,17050,0.0003596782,RAF1
4893,12368,0.00034824156,NRAS
3725,10092,0.00031438578,JUN
4790,12176,0.00031131195,NFKB1
5605,14573,0.00030357184,MAP2K2
1956,5320,0.00027507322,EGFR
2353,6803,0.00027504854,FOS
4609,12735,0.00026704068,MYC
208,6272,0.0002658883,AKT2
10000,637,0.00025753153,AKT3
5970,15913,0.00025702736,RELA
6714,17754,0.00025594444,SRC
5599,14949,0.00025433258,MAPK8
595,16002,0.00025352684,CCND1
7316,21358,0.00025190937,UBC
5879,16999,0.00025091818,RAC1
5291,13721,0.00024990414,PIK3CB
6233,19475,0.00024956596,RPS27A
5293,13499,0.00024772703,PIK3CD
673,17211,0.00024042564,BRAF
5578,14927,0.00024035582,PRKCA
6464,16480,0.00023922186,SHC1
4792,13932,0.00023636225,NFKBIA
7157,17854,0.00023615622,TP53
6772,17622,0.00023391882,STAT1
1026,1822,0.00023069709,CDKN1A
6774,17404,0.00023012246,STAT3
1432,4614,0.00022586268,MAPK14
7314,17808,0.00022560301,UBB
5781,17737,0.00022546096,PTPN11
5335,15768,0.00022260186,PLCG1
7311,17807,0.00022012202,UBA52
5296,13596,0.0002147802,PIK3R2
3551,11531,0.00021030099,IKBKB
1147,4369,0.0002086206,CHUK
5579,14781,0.00020788972,PRKCB
3569,10037,0.00020194541,IL6
387,12492,0.0001987574,RHOA
2475,7055,0.00019658517,MTOR
7124,17651,0.00019577387,TNF
1385,5091,0.00019201724,CREB1
2534,6990,0.00019173112,FYN
369,10436,0.00019071334,ARAF
2932,9588,0.00018778563,GSK3B
596,15847,0.00018759214,BCL2
3717,10681,0.0001854791,JAK2
8517,21938,0.0001832155,IKBKG
1950,6302,0.0001831386,EGF
7422,19110,0.00017993934,VEGFA
3716,10338,0.00017951017,JAK1
5294,13434,0.00017929784,PIK3CG
7040,18267,0.00017813733,TGFB1
