Index,Score,ncbi_gene_id,claim_name
97,0.0035699003603917893,1544,CYP1A2
85,0.003566950239944385,1576,CYP3A4
0,0.0032404267523344745,1565,CYP2D6
31,0.0027077236744458455,1813,DRD2
47,0.0025666435999706335,1559,CYP2C9
366,0.0024826833330410503,262,AMD1
1333,0.0024826833330410503,215,ABCD1
1299,0.0024826833330410503,12,SERPINA3
463,0.0024826833330410503,3358,HTR2C
518,0.002369357038040222,3356,HTR2A
169,0.0021443166966354263,1,A1BG
127,0.0020818874833951097,11,NATP
189,0.0020565586296358443,1557,CYP2C19
393,0.0019726461281913514,4524,MTHFR
665,0.0018089001806772084,3363,HTR7
1028,0.0018089001806772084,1815,DRD4
820,0.00179797767381478,1543,CYP1A1
2973,0.0017435208469894856,7957,EPM2A
934,0.0016923075389655537,25970,SH2B1
935,0.0016923075389655537,9135,RABEP1
427,0.0016342317263006376,2,A2M
296,0.0016342317263006376,3,A2MP1
3,0.0015374513334466505,5999,RGS4
528,0.001448222876675366,216,ALDH1A1
706,0.001448222876675366,9429,ABCG2
253,0.0013737531514175978,1814,DRD3
949,0.0013539021786401616,54658,UGT1A1
991,0.001310083881082238,3107,HLA-C
132,0.0012988152103424195,3350,HTR1A
1027,0.0012988152103424195,4160,MC4R
168,0.0012988152103424195,3269,HRH1
462,0.0012676115143978924,10,NAT2
2068,0.0012381161888205502,4922,NTS
368,0.001236385997102103,1812,DRD1
927,0.001233435876654697,6505,SLC1A1
2618,0.001233435876654697,100302251,MIR1264
2538,0.001233435876654697,100302144,MIR1912
4260,0.0011990846970410267,440275,EIF2AK4
221,0.0011979976431764521,627,BDNF
536,0.0011968563485753821,6331,SCN5A
61,0.001171969227246639,3952,LEP
605,0.001171969227246639,2904,GRIN2B
1016,0.0011525864702866125,54579,UGT1A5
944,0.0011525864702866125,54659,UGT1A3
1664,0.0011318506816025407,5563,PRKAA2
336,0.001112806360717148,26,AOC1
1334,0.001112806360717148,218,ALDH3A1
282,0.001112806360717148,217,ALDH2
371,0.001112806360717148,214,ALCAM
476,0.0010184856626819438,54657,UGT1A4
742,0.001016025967863161,7066,THPO
364,0.001016025967863161,7157,TP53
293,0.0010130758474157552,25,ABL1
1686,0.0010130758474157552,1571,CYP2E1
619,0.0009718160071705867,6329,SCN4A
620,0.0009718160071705867,6334,SCN8A
479,0.0009718160071705867,6323,SCN1A
621,0.0009718160071705867,6328,SCN3A
1728,0.0009718160071705867,3119,HLA-DQB1
494,0.0009718160071705867,6326,SCN2A
349,0.0009718160071705867,6332,SCN7A
20,0.0009718160071705867,6336,SCN10A
1484,0.0009718160071705867,3123,HLA-DRB1
399,0.0009718160071705867,11280,SCN11A
436,0.0009718160071705867,6335,SCN9A
275,0.000941088026787983,10951,CBX1
338,0.0009381379063405772,24,ABCA4
1551,0.0009381379063405772,4781,NFIB
402,0.0009381379063405772,22,ABCB7
824,0.0009381379063405772,64816,CYP3A43
1304,0.0009381379063405772,23,ABCF1
1581,0.0009381379063405772,2194,FASN
929,0.0009334318666363806,3106,HLA-B
817,0.0009334318666363806,5617,PRL
1000,0.0009187551493805507,54600,UGT1A9
990,0.0009187551493805507,54577,UGT1A7
907,0.0009187551493805507,54575,UGT1A10
969,0.0009187551493805507,54576,UGT1A8
989,0.0009187551493805507,54578,UGT1A6
869,0.0009140491096763543,5460,POU5F1
425,0.0009140491096763543,360158,CYCSP5
2525,0.0009140491096763543,100130889,PSORS1C3
225,0.000911490652363599,3417,IDH1
508,0.000911490652363599,8856,NR1I2
359,0.0009026996728623323,5243,ABCB1
1694,0.0009026996728623323,3308,HSPA4
162,0.0008990806870227104,367,AR
1779,0.000898019360696479,3359,HTR3A
2914,0.000898019360696479,23216,TBC1D1
1769,0.000898019360696479,7365,UGT2B10
1110,0.000898019360696479,2641,GCG
122,0.000898019360696479,1128,CHRM1
2811,0.000898019360696479,5565,PRKAB2
570,0.000898019360696479,2166,FAAH
1068,0.000898019360696479,887,CCKBR
74,0.000898019360696479,2740,GLP1R
100,0.0008636681810828087,148,ADRA1A
147,0.0008636681810828087,3352,HTR1D
134,0.00084135751348659,3757,KCNH2
190,0.0008337013533349876,7124,TNF
376,0.0008324644851382815,2559,GABRA6
345,0.0008324644851382815,706,TSPO
258,0.0008324644851382815,55879,GABRQ
137,0.0008324644851382815,2570,GABRR2
66,0.0008324644851382815,2568,GABRP
614,0.0008324644851382815,2557,GABRA4
326,0.0008324644851382815,2567,GABRG3
117,0.0008324644851382815,2564,GABRE
615,0.0008324644851382815,2556,GABRA3
138,0.0008324644851382815,2555,GABRA2
660,0.0008324644851382815,2562,GABRB3
104,0.0008324644851382815,2565,GABRG1
281,0.0008324644851382815,2563,GABRD
480,0.0008324644851382815,2561,GABRB2
