Index,Score,ncbi_gene_id,claim_name
17056,0.023005367490044636,6714,SRC
17461,0.021456500595823106,7124,TNF
17490,0.016959805794311906,7157,TP53
4555,0.013205682415878165,1543,CYP1A1
5636,0.013010257813877959,216,ALDH1A1
13094,0.012742207038302433,5294,PIK3CG
9127,0.011934112609153048,3106,HLA-B
3023,0.011627153667511372,12,SERPINA3
15885,0.010833816611876573,627,BDNF
7417,0.010733199140472632,262,AMD1
17513,0.010554796745776286,718,C3
14209,0.010313542134988514,5563,PRKAA2
9910,0.010130887010905022,355,FAS
4618,0.010053963642844492,1576,CYP3A4
5673,0.009924860363951333,2194,FASN
12028,0.009723985396934295,4781,NFIB
15959,0.009678164899036576,6347,CCL2
5621,0.009294019676212236,214,ALCAM
12129,0.009258066207750588,4907,NT5E
12135,0.009116981901119214,4915,NTRK2
4557,0.008868059090092133,1544,CYP1A2
1192,0.008832673114790869,10213,PSMD14
15588,0.008734526040078433,596,BCL2
5645,0.008570791890515846,217,ALDH2
10078,0.008534357087251346,3727,JUND
17766,0.008440368750300253,7298,TYMS
6826,0.008327291018466186,25,ABL1
11873,0.008326237859076411,4609,MYC
5346,0.00827712497896832,2,A2M
8837,0.00813029361149509,2944,GSTM1
4559,0.007996629532581019,1545,CYP1B1
6060,0.007979783766305383,2289,FKBP5
9918,0.007896186138804866,3558,IL2
8746,0.007711208062044035,2904,GRIN2B
9913,0.007492886898120605,3552,IL1A
15625,0.007210365445994468,5999,RGS4
9128,0.007210093204452225,3107,HLA-C
16689,0.007177448632871735,6505,SLC1A1
21444,0.007166171021234439,9429,ABCG2
4596,0.007099765658696763,1559,CYP2C9
14224,0.0070515280969057955,5565,PRKAB2
3389,0.006515618689749138,1277,COL1A1
4600,0.006473040651084322,1565,CYP2D6
10823,0.006469849764254552,3952,LEP
9067,0.006343198017142122,3065,HDAC1
13484,0.0063297166088800896,5468,PPARG
13049,0.006161128654962588,5243,ABCB1
9147,0.006115379260612677,3127,HLA-DRB5
17071,0.005998047298210336,673,BRAF
4594,0.005767075616405301,1557,CYP2C19
11567,0.005623554560369966,4363,ABCC1
7982,0.005615510201375763,2784,GNB3
16993,0.005567910721739996,6648,SOD2
10026,0.005375494668602068,367,AR
3972,0.005368647923565361,1432,MAPK14
11974,0.005357828439893033,472,ATM
4603,0.005321074382560373,1571,CYP2E1
9599,0.005269307540591081,3417,IDH1
5245,0.005228514465615771,196,AHR
9136,0.0051438220141928675,3115,HLA-DPB1
20946,0.0051317585376235535,9135,RABEP1
11154,0.0050659175740581505,4067,LYN
9322,0.004991692059023364,3303,HSPA1A
5132,0.004991333576478987,1813,DRD2
6813,0.004940633247575269,2475,MTOR
3790,0.00492588363107448,1385,CREB1
8842,0.004899452015364902,2950,GSTP1
17469,0.004870757125929437,7133,TNFRSF1B
9326,0.004761005418487193,3308,HSPA4
9363,0.004756488801927209,3358,HTR2C
4540,0.004748568452320339,154,ADRB2
9126,0.004741960920117243,3105,HLA-A
9068,0.004723634980336993,3066,HDAC2
5627,0.004499167431195402,215,ABCD1
9187,0.0044924453591097336,3176,HNMT
9914,0.0044450522997745955,3553,IL1B
8762,0.004346481858764458,2908,NR3C1
9361,0.0043145290535156425,3356,HTR2A
6341,0.004225651786857151,23216,TBC1D1
2195,0.004183702500176115,10951,CBX1
9369,0.004104036873511903,3363,HTR7
7267,0.004035615555350047,25970,SH2B1
9144,0.003956112205710639,3123,HLA-DRB1
11836,0.003945188271325999,4524,MTHFR
7609,0.00392548708073669,2668,GDNF
13437,0.0039140750739365725,54575,UGT1A10
13471,0.0038996271005678285,54658,UGT1A1
8843,0.0038471717372556107,2952,GSTT1
12123,0.003830179060497896,490,ATP2B1
7653,0.003817754056419921,2678,GGT1
14573,0.003809505291236043,5617,PRL
9295,0.003807712719512244,3269,HRH1
17419,0.0037410308896649617,7082,TJP1
9140,0.0036857235582437287,3119,HLA-DQB1
9145,0.0036184059306757126,3125,HLA-DRB3
13122,0.003518296611501277,5325,PLAGL1
5654,0.003497620200090168,218,ALDH3A1
21207,0.00349707880790634,928,CD9
2542,0.003458670462866063,1128,CHRM1
7512,0.0033559248796015996,2641,GCG
5641,0.0032571468651102146,2166,FAAH
20545,0.0032565887627814187,887,CCKBR
8839,0.003245798642681449,2947,GSTM3
5134,0.0032273446047245318,1815,DRD4
13470,0.003145756316102375,54657,UGT1A4
4332,0.0031333887299685686,150,ADRA2A
13452,0.003077356749511077,5460,POU5F1
4598,0.003041520834136973,1562,CYP2C18
5117,0.0030004772229643055,18,ABAT
9356,0.0029958452721762312,3350,HTR1A
20517,0.0029730330192305706,8837,CFLAR
12017,0.002966250860286044,477,ATP1A2
12072,0.002955264954349188,4835,NQO2
4567,0.0029198317179336985,1548,CYP2A6
12142,0.00291960739767285,4922,NTS
5755,0.0029086024919553043,22,ABCB7
16772,0.0027958161616737985,6531,SLC6A3
20521,0.002792559858649698,8841,HDAC3
17856,0.0027796117192822813,7365,UGT2B10
5131,0.002742124288021297,1812,DRD1
17955,0.0026484073630177103,7494,XBP1
1964,0.0026344348134791,107,ADCY1
9066,0.0026211645045800757,3064,HTT
11415,0.002591444383593752,4160,MC4R
13440,0.0025906059801050155,54578,UGT1A6
7288,0.0025891474430532334,26,AOC1
10824,0.0025808818501585817,3953,LEPR
7938,0.0025764401207648002,2740,GLP1R
17831,0.002574523816226051,7334,UBE2N
16785,0.0025545167468519624,6532,SLC6A4
21731,0.0025083323467745204,9734,HDAC9
4574,0.00247412524032564,155,ADRB3
12130,0.0024578662973963813,4908,NTF3
6933,0.002415196130877651,2548,GAA
10204,0.0023898081425894066,3760,KCNJ3
13453,0.0023893265008781595,54600,UGT1A9
12027,0.0023790133265767276,4780,NFE2L2
19179,0.0023171549669286163,818,CAMK2G
3510,0.0023138381931313234,13,AADAC
12377,0.002310891543074922,50852,TRAT1
5319,0.002307446246177369,1993,ELAVL2
15364,0.002304214954305722,5799,PTPRN2
21756,0.0022975810260730195,9759,HDAC4
10192,0.0022806426702866524,3757,KCNH2
0,0.0022648343095252204,1,A1BG
6382,0.0022562323812070984,2326,FMO1
4592,0.0022406887580273633,1555,CYP2B6
17089,0.002212280708505803,6750,SST
4454,0.0021967646544448043,152,ADRA2C
13472,0.002160591308866227,54659,UGT1A3
12452,0.002155666956609718,51053,GMNN
16601,0.0021371887456786663,64816,CYP3A43
20535,0.002125678772401687,8856,NR1I2
4228,0.0020718604251639245,148,ADRA1A
8616,0.0020668660670416527,28755,TRAC
13438,0.0020266788280403824,54576,UGT1A8
18525,0.0019877786637000983,79718,TBL1XR1
2451,0.0019831752751790456,11201,POLI
3562,0.001982342435807481,1312,COMT
4156,0.0019784006697947864,147,ADRA1B
18406,0.0019459224665689925,7957,EPM2A
18316,0.0019437013116876635,7915,ALDH5A1
14376,0.0019411375462789105,5581,PRKCE
2063,0.0019198105559050302,108,ADCY2
18133,0.0019116565998446953,776,CACNA1D
10056,0.0019064498812317754,3699,ITIH3
7720,0.0018956623215759603,27,ABL2
20473,0.001894197489971622,8792,TNFRSF11A
123,0.0018765197733627242,10013,HDAC6
6400,0.0018727857084141738,2328,FMO3
2571,0.0018692392174981228,1131,CHRM3
1,0.0018450210628256439,10,NAT2
257,0.0018404541490634298,10014,HDAC5
8695,0.0018345885224430945,28951,TRIB2
13439,0.0018245451150098334,54577,UGT1A7
6750,0.001822640553363426,24,ABCA4
20529,0.0018074770171072055,885,CCK
18125,0.0018070180885877106,775,CACNA1C
6186,0.0017830161442655306,23043,TNIK
12088,0.0017622487919872688,4855,NOTCH4
9173,0.0017372587022346953,316,AOX1
9961,0.0017336226860094031,36,ACADSB
16892,0.0017032314786560635,6580,SLC22A1
4625,0.001702813578708111,1577,CYP3A5
17506,0.0017005628138362697,7172,TPMT
7639,0.001664238377829277,2675,GFRA2
11132,0.0016628515494274839,4049,LTA
17956,0.0016626216027141065,7498,XDH
9364,0.0016038845242569199,3359,HTR3A
9324,0.0015887006176250973,3305,HSPA1L
12253,0.0015866448166194824,5020,OXT
2174,0.0015863893223774606,10928,RALBP1
11606,0.001565192637779184,440275,EIF2AK4
2558,0.0015402281100421588,1129,CHRM2
10921,0.0015374123132416548,4005,LMO2
5133,0.0015367199367792442,1814,DRD3
5135,0.0015359067078123245,1816,DRD5
4595,0.0015271795513459058,1558,CYP2C8
8815,0.0015027946966649358,2917,GRM7
13441,0.0014940133156840511,54579,UGT1A5
11133,0.0014515248320511923,405,ARNT
2166,0.0014380815078278634,10919,EHMT2
7491,0.00143683847231512,26298,EHF
6145,0.0014284088044864487,23,ABCF1
9357,0.0014216193974662319,3351,HTR1B
12855,0.0014189772099806996,51564,HDAC7
6747,0.0014078869597286341,238,ALK
15755,0.0013904229506587877,613,BCR
2901,0.0013877331264189458,116987,AGAP1
12244,0.001385288124440968,5009,OTC
4396,0.001376047902577885,151,ADRA2B
18667,0.0013473411921611621,79885,HDAC11
12202,0.0013468079445035763,4967,OGDH
15932,0.0013359687537455877,632,BGLAP
17960,0.0013353000714129714,7504,XK
3749,0.0013125806745690177,1373,CPS1
7628,0.001312503853304054,2671,GFER
5544,0.0013099092886158866,2053,EPHX2
7756,0.0012773133733862247,27068,PPA2
2606,0.0012649776428189073,1133,CHRM5
2278,0.001260577525641624,1103,CHAT
13110,0.0012560679648066047,5311,PKD2
11146,0.001254479046116271,406,BMAL1
13298,0.0012411311540950472,5428,POLG
19279,0.0012393803586042403,8314,BAP1
15943,0.0012123421471584167,6331,SCN5A
2589,0.0012083127167930032,1132,CHRM4
9368,0.0012080254729003317,3362,HTR6
11557,0.00118151280071148,4353,MPO
4504,0.0011794067382938304,153,ADRB1
8811,0.0011702317896891239,2913,GRM3
15946,0.0011679217432624437,6335,SCN9A
15945,0.0011670115791725703,6334,SCN8A
2759,0.001148752923701038,115019,SLC26A9
15939,0.0011306007396651458,6328,SCN3A
971,0.0010769530721582096,1012,CDH13
9994,0.0010741156631727006,3628,INPP1
17857,0.0010665781268291044,7366,UGT2B15
12965,0.0010646126989383258,51738,GHRL
17399,0.001040016232475416,706,TSPO
7704,0.001039958339739197,2696,GIPR
2653,0.0010377425051156183,1139,CHRNA7
17553,0.0010375665914053576,7252,TSHB
7534,0.0010132613510801225,265,AMELX
283,0.0010030776181230382,1002,CDH4
6708,0.0009959691582142691,23671,TMEFF2
21958,0.0009830411185730002,9970,NR1I3
14145,0.000981485742363852,55534,MAML3
9502,0.0009797461042520103,339745,SPOPL
3889,0.0009700699153845268,1407,CRY1
9358,0.0009468506719325438,3352,HTR1D
15551,0.0009409483051948853,59340,HRH4
18331,0.0009396838691730998,7917,BAG6
19557,0.0009322177272205379,84062,DTNBP1
14426,0.0009279853584320113,55869,HDAC8
17403,0.0009231447512139769,7066,THPO
9977,0.0008992046461863743,361,AQP4
15937,0.0008982243663385631,6326,SCN2A
16074,0.0008843851500998721,64067,NPAS3
15490,0.0008817017469880668,5893,RAD52
9359,0.0008788236371294494,3354,HTR1E
15944,0.000860372494321819,6332,SCN7A
683,0.0008359842986452723,100507436,MICA
13144,0.0008319526393910718,53353,LRP1B
7038,0.0008267110382428928,2568,GABRP
20586,0.0008116824242971319,8912,CACNA1H
16943,0.0007838713198739927,6606,SMN1
14084,0.0007617537314655264,5538,PPT1
18151,0.000753561680177427,778,CACNA1F
15935,0.0007441595166519467,6323,SCN1A
2543,0.0007420236883981336,11280,SCN11A
15926,0.0007322212971042596,6311,ATXN2
16299,0.0007299192339608099,64388,GREM2
19512,0.0007178334092908929,83933,HDAC10
7517,0.0007038614701879308,2646,GCKR
7623,0.000700438601584417,2670,GFAP
7009,0.0006922246611530089,2562,GABRB3
11412,0.0006833208235924305,4158,MC2R
