ncbi_gene_id,Index,Score,claim_name
5594,14474,0.0005305488,MAPK1
5595,15028,0.00052614074,MAPK3
3265,9381,0.00046733205,HRAS
5290,13306,0.0004418742,PIK3CA
2885,10822,0.0004418275,GRB2
207,6300,0.00041684182,AKT1
5295,13731,0.00039437495,PIK3R1
6654,21611,0.0003865779,SOS1
5604,14577,0.00038287917,MAP2K1
3845,10561,0.00037353934,KRAS
5894,17050,0.0003618033,RAF1
4893,12368,0.00035030104,NRAS
3725,10092,0.00031432993,JUN
4790,12176,0.0003112554,NFKB1
5605,14573,0.0003035086,MAP2K2
1956,5320,0.0002750238,EGFR
2353,6803,0.00027500102,FOS
208,6272,0.00026583884,AKT2
4609,12735,0.00026537,MYC
10000,637,0.00025748467,AKT3
5970,15913,0.00025698182,RELA
595,16002,0.00025523244,CCND1
6714,17754,0.0002543387,SRC
5599,14949,0.000254287,MAPK8
7316,21358,0.00025187046,UBC
5879,16999,0.00025087516,RAC1
5291,13721,0.00024985796,PIK3CB
6233,19475,0.00024952757,RPS27A
5293,13499,0.00024768198,PIK3CD
673,17211,0.00024057069,BRAF
5578,14927,0.0002403154,PRKCA
6464,16480,0.00023917011,SHC1
7157,17854,0.00023688014,TP53
4792,13932,0.00023632424,NFKBIA
6772,17622,0.00023388243,STAT1
1026,1822,0.00023208326,CDKN1A
6774,17404,0.00023008407,STAT3
7314,17808,0.00022556348,UBB
5781,17737,0.0002254221,PTPN11
1432,4614,0.00022444662,MAPK14
5335,15768,0.0002225628,PLCG1
7311,17807,0.00022008357,UBA52
5296,13596,0.00021606285,PIK3R2
3551,11531,0.00021026643,IKBKB
1147,4369,0.00020858638,CHUK
5579,14781,0.00020785615,PRKCB
3569,10037,0.00020191736,IL6
387,12492,0.00019872791,RHOA
7124,17651,0.00019555897,TNF
2475,7055,0.00019535352,MTOR
2534,6990,0.00019170353,FYN
1385,5091,0.00019081587,CREB1
369,10436,0.00019067863,ARAF
2932,9588,0.00018891241,GSK3B
596,15847,0.00018794723,BCL2
3717,10681,0.00018545061,JAK2
8517,21938,0.0001831872,IKBKG
1950,6302,0.00018310992,EGF
7422,19110,0.000179917,VEGFA
3716,10338,0.00017948351,JAK1
5294,13434,0.0001792688,PIK3CG
7040,18267,0.00017921065,TGFB1
983,22273,0.00017811157,CDK1
6776,18352,0.00017807512,STAT5A
1499,5010,0.00017798787,CTNNB1
801,20166,0.00017791713,CALM1
2033,7910,0.00017723562,EP300
3576,10146,0.00017660215,CXCL8
8503,20587,0.00017523007,PIK3R3
5925,16993,0.00017374831,RB1
572,16553,0.00017365505,BAD
998,22750,0.00016802599,CDC42
1869,5730,0.00016736079,E2F1
5601,15534,0.00016717154,MAPK9
2002,8956,0.00016411993,ELK1
1387,5613,0.00016366506,CREBBP
6777,19182,0.00016262413,STAT5B
2335,8083,0.0001619639,FN1
836,19932,0.00016120753,CASP3
5170,14557,0.00016069869,PDPK1
3688,10635,0.0001602764,ITGB1
1017,1796,0.00015812655,CDK2
3553,10310,0.00015692669,IL1B
5058,13827,0.00015686017,PAK1
5566,14412,0.00015664943,PRKACA
5567,17279,0.00015659351,PRKACB
