Index,Score,ncbi_gene_id,claim_name
13090,0.03709467916331482,5290,PIK3CA
17490,0.033612701722665415,7157,TP53
15579,0.020102873354697452,595,CCND1
10310,0.014309841685840461,3845,KRAS
15588,0.012995195698059254,596,BCL2
9287,0.012798767807822017,3265,HRAS
15373,0.011371437104468297,581,BAX
17766,0.011349019922243865,7298,TYMS
17061,0.011098500457375527,672,BRCA1
1265,0.010304430910171525,1027,CDKN1B
15491,0.009255222744471358,5894,RAF1
8828,0.009174785762175437,2932,GSK3B
12118,0.009159820019382725,4893,NRAS
5560,0.009141467351640765,2064,ERBB2
9102,0.008912861871332162,3084,NRG1
7450,0.008483354433502711,2625,GATA3
9335,0.008400592259028002,332,BIRC5
17596,0.008361244316140052,7280,TUBB2A
17487,0.008197428572050306,7153,TOP2A
12027,0.007903797328361805,4780,NFE2L2
14984,0.007827002402773686,5728,PTEN
5178,0.00778171924889844,1869,E2F1
17461,0.007690774905079877,7124,TNF
17071,0.007415163596820329,673,BRAF
17465,0.0071084434374129955,7128,TNFAIP3
17379,0.007032674771518272,7040,TGFB1
5050,0.0068245057739077285,1719,DHFR
17900,0.006522240209207483,7421,VDR
16993,0.006139021716416933,6648,SOD2
20575,0.0058921835545872716,890,CCNA2
17392,0.005878814966738053,7052,TGM2
18986,0.0058608716938602454,80781,COL18A1
18183,0.005758692660436407,7846,TUBA1A
10026,0.0057318973208711045,367,AR
17576,0.005646180193905531,7277,TUBA4A
6826,0.005596472477510768,25,ABL1
15870,0.005595345150999906,6241,RRM2
8762,0.005585206304163827,2908,NR3C1
11438,0.005514546753500316,4193,MDM2
5484,0.0054778594337783724,2030,SLC29A1
16862,0.005466132609889238,655,BMP7
17149,0.005120264812143982,6790,AURKA
11322,0.005112830370235784,4088,SMAD3
13049,0.005096223389536496,5243,ABCB1
15894,0.004973239457308634,6279,S100A8
3752,0.004930889257395584,1374,CPT1A
5952,0.004921585828728638,2247,FGF2
15994,0.004911701251134872,6387,CXCL12
9092,0.00482901506394468,3082,HGF
19862,0.004804171560467023,84617,TUBB6
1315,0.0047586527208151016,1029,CDKN2A
19224,0.004735020118699343,8202,NCOA3
5585,0.004705387737769483,2099,ESR1
11323,0.004629691589503165,4089,SMAD4
1396,0.004607252903432222,10383,TUBB4B
12452,0.004597858651102824,51053,GMNN
9151,0.0045857456655028096,3133,HLA-E
4618,0.004507989538597838,1576,CYP3A4
13094,0.00448122502794185,5294,PIK3CG
13484,0.0044730268246978774,5468,PPARG
9599,0.004448809485214396,3417,IDH1
9128,0.004431430820659875,3107,HLA-C
12080,0.004407389536959844,4846,NOS3
15478,0.004363632017504897,5880,RAC2
9794,0.004355861879257628,3480,IGF1R
2357,0.004324642633176997,1111,CHEK1
5056,0.004237530677383226,1728,NQO1
1253,0.004202633962929032,1026,CDKN1A
9782,0.004159190894412533,347733,TUBB2B
11567,0.004143517224957611,4363,ABCC1
17436,0.003985318885239356,71,ACTG1
1390,0.003936053606690375,10376,TUBA1B
12019,0.003929763368264642,4772,NFATC1
8837,0.0039275688230328825,2944,GSTM1
1394,0.003907275581514673,10381,TUBB3
5972,0.0038974202511208216,2264,FGFR4
17435,0.003850860003748357,7099,TLR4
9372,0.0038342544499022917,3371,TNC
17582,0.003824415139102051,7278,TUBA3C
9918,0.003822136693707487,3558,IL2
12134,0.003785518662270795,4914,NTRK1
15042,0.0037563498924062287,5743,PTGS2
5969,0.0037228513102589367,2261,FGFR3
3,0.003695418790399566,1000,CDH2
5996,0.0036789901936119234,22809,ATF5
20371,0.00366678862738491,867,CBL
9798,0.0036556194430945716,3481,IGF2
1395,0.0036256534456237887,10382,TUBB4A
12311,0.00354500801752083,5054,SERPINE1
13096,0.003518949494752121,5296,PIK3R2
19968,0.003514292843218772,84790,TUBA1C
4592,0.003491257578225446,1555,CYP2B6
13296,0.0034749293202308534,5427,POLE2
12020,0.0034669726531113463,4773,NFATC2
15885,0.003453873296092562,627,BDNF
5487,0.0033970733996362135,203068,TUBB
17933,0.0033215064577532733,7465,WEE1
5598,0.003288512589443273,2114,ETS2
4557,0.0032673127025301166,1544,CYP1A2
9917,0.0032287830044955843,3557,IL1RN
15869,0.003201442109115465,6240,RRM1
2166,0.0031562384360679626,10919,EHMT2
13294,0.0031408225412813996,5425,POLD2
13293,0.003113612389886575,5424,POLD1
7948,0.003111150276594316,2744,GLS
1976,0.00311104769122513,10714,POLD3
6751,0.00307287590066682,240,ALOX5
15326,0.0030476954810759694,57804,POLD4
20349,0.0030121261397828914,8648,NCOA1
19028,0.0030103193758231716,81027,TUBB1
14161,0.0029902573839163667,5557,PRIM1
4596,0.002986268610131681,1559,CYP2C9
11974,0.002969638911741214,472,ATM
5979,0.002955378769735882,2274,FHL2
12197,0.0029427506691961204,4953,ODC1
4520,0.002934692452735192,1535,CYBA
6345,0.002927934698148611,2322,FLT3
3701,0.0029123541618188264,1356,CP
2630,0.0028991905235821033,113457,TUBA3D
2528,0.002897843048973766,112714,TUBA3E
3075,0.0028811142807217576,1213,CLTC
5201,0.002811373072473286,1906,EDN1
1251,0.002801292159209657,10257,ABCC4
5971,0.0027954527628007027,2263,FGFR2
17088,0.002778461158135542,675,BRCA2
13295,0.0027772699201650537,5426,POLE
5566,0.00268696594295243,2068,ERCC2
9776,0.0026721121151927945,347688,TUBB8
7266,0.002668867913509266,2597,GAPDH
9993,0.002633616664663586,3627,CXCL10
11876,0.002633506846969327,4613,MYCN
13148,0.0026124676327363952,5337,PLD1
2,0.002608342240780983,100,ADA
13290,0.0025952587453330735,5422,POLA1
20613,0.0025946775964085346,8945,BTRC
6060,0.0025924922261593266,2289,FKBP5
17922,0.002549625394890558,7450,VWF
19072,0.0025338692647681057,814,CAMK4
14168,0.0025335661920296445,5558,PRIM2
8842,0.00250401332682667,2950,GSTP1
13265,0.0025026496459982814,54107,POLE3
4600,0.002473335096678566,1565,CYP2D6
20409,0.002464033339710843,8714,ABCC3
9303,0.002415206399807393,328,APEX1
6752,0.0024088658433066797,241,ALOX5AP
6107,0.0024022429901003972,22943,DKK1
20535,0.00238376672406004,8856,NR1I2
9334,0.0023812203535358255,3316,HSPB2
17504,0.00237628225176112,7170,TPM3
5068,0.0023730131260392235,174,AFP
19232,0.0023230548301528256,822,CAPG
4201,0.0023021206074324927,147700,KLC3
10024,0.0022820386971744095,3667,IRS1
5588,0.0022403837866403985,2100,ESR2
5466,0.0022206017539942707,2022,ENG
5989,0.0022128494417710397,22800,RRAS2
6699,0.002173747141251525,23649,POLA2
5625,0.0021573582664362093,2147,F2
1666,0.002149352050658311,10599,SLCO1B1
11963,0.00214264212847427,471,ATIC
11835,0.0021384396348355364,4522,MTHFD1
11836,0.002104635746169226,4524,MTHFR
9031,0.002102144765596701,3028,HSD17B10
13048,0.002077154923863427,5241,PGR
17373,0.002070374943692406,7033,TFF3
6216,0.002062525469445403,2308,FOXO1
21060,0.002061600108994639,9194,SLC16A7
11792,0.001999869726803511,4436,MSH2
12136,0.001991687023207825,4916,NTRK3
1242,0.0019880311855627695,1025,CDK9
6530,0.0019855244981113827,23435,TARDBP
7653,0.0019554040331119507,2678,GGT1
21964,0.0019485044914017923,9978,RBX1
16885,0.0019482980055994812,6573,SLC19A1
15403,0.0019472258932450312,5836,PYGL
12016,0.001902491217048986,4763,NF1
1944,0.0018806007209477048,10672,GNA13
8843,0.0018684289505227904,2952,GSTT1
15755,0.0018486133517647383,613,BCR
17956,0.0018451591891128325,7498,XDH
17059,0.001844106077921692,6717,SRI
13292,0.0018346232895009645,5423,POLB
1345,0.0018295122348672204,10320,IKZF1
8808,0.0018257196622034092,29126,CD274
5565,0.001807658816164826,2067,ERCC1
4594,0.001794584104588297,1557,CYP2C19
15898,0.0017932627397538579,6283,S100A12
6559,0.0017928954712413668,2348,FOLR1
9730,0.0017806464781405503,3458,IFNG
9076,0.0017254073403166939,3074,HEXB
17172,0.001715899095197993,6822,SULT2A1
9018,0.0017115584298328702,301,ANXA1
8846,0.0017091737388257712,2956,MSH6
9174,0.0016951346110910075,3161,HMMR
8833,0.0016781666160537595,2938,GSTA1
9981,0.0016751858255541806,3614,IMPDH1
17494,0.001626521342665349,7161,TP73
13299,0.0015994904343879686,5429,POLH
13621,0.0015968765284251792,54880,BCOR
8991,0.0015830636503587846,29994,BAZ2B
5841,0.0015809463119868439,2214,FCGR3A
19073,0.0015791768554863006,8140,SLC7A5
11942,0.0015661449856235366,4689,NCF4
13124,0.0015659536796874163,5327,PLAT
11793,0.001562718594639505,4437,MSH3
9422,0.001560591872246646,3385,ICAM3
12076,0.001560106471286331,4839,NOP2
5651,0.001541917191779731,2176,FANCC
11845,0.001537937853910117,4548,MTR
6747,0.0015259937684911655,238,ALK
3192,0.0015150523595167512,1244,ABCC2
21776,0.00150071405087462,978,CDA
11913,0.00149801946271608,4654,MYOD1
10007,0.0014968014900633077,3643,INSR
7895,0.00147948744324058,27303,RBMS3
17238,0.001474767435044622,6898,TAT
13989,0.001462781073865526,5528,PPP2R5D
1709,0.0014523060869888716,10644,IGF2BP2
15932,0.0014441736331268545,632,BGLAP
12749,0.0014415224119270088,514,ATP5F1E
11817,0.0014359280769539646,4489,MT1A
4034,0.0014149934545188941,144455,E2F7
5631,0.0014136490976583943,2153,F5
4686,0.001385908241182418,1588,CYP19A1
2195,0.0013851977257314989,10951,CBX1
12445,0.0013796861689978374,5104,SERPINA5
11795,0.0013495157615058724,4439,MSH5
11882,0.0013489587942264643,462,SERPINC1
4970,0.0013379258016677732,1690,COCH
5805,0.0013265152317135755,221,ALDH3B1
21868,0.001316766336267878,988,CDC5L
11502,0.0013063651149670613,4292,MLH1
14383,0.001299258974024297,55816,DOK5
10293,0.0012904263713615777,3824,KLRD1
4595,0.0012895891340471088,1558,CYP2C8
9163,0.001285441086383033,3146,HMGB1
6349,0.0012821985741766323,23224,SYNE2
14475,0.0012817654436958175,55959,SULF2
740,0.0012802515498744995,10057,ABCC5
13151,0.0012751868427325907,5338,PLD2
12130,0.0012642665134261744,4908,NTF3
12967,0.001258977639814678,51741,WWOX
2174,0.0012577797280026982,10928,RALBP1
14154,0.0012482224690053899,55556,ENOSF1
10241,0.0012408395131206893,3784,KCNQ1
12292,0.0012330842148313126,50484,RRM2B
16072,0.0012085448089018329,64065,PERP
17967,0.0011999363436024503,7515,XRCC1
6382,0.001185355088084221,2326,FMO1
16688,0.0011714181564151578,6504,SLAMF1
13019,0.0011708103083641536,5203,PFDN4
6542,0.001170621188035867,2346,FOLH1
17303,0.0011463208960154202,6935,ZEB1
2101,0.001104885115316664,10849,POLR1G
21444,0.0010969395215457089,9429,ABCG2
14449,0.0010745279314262816,55902,ACSS2
13471,0.0010649793721168891,54658,UGT1A1
16079,0.0010613031675288365,64078,SLC28A3
5966,0.0010607763213847073,2259,FGF14
13050,0.0010570584990856361,5244,ABCB4
5124,0.001030621362187789,1806,DPYD
21480,0.0010287214890860998,947,CD34
12400,0.0010205471777487974,50943,FOXP3
15243,0.0010173106850461205,57650,CIP2A
993,0.0010172234382969558,1014,CDH16
5857,0.001015528763234477,2215,FCGR3B
10086,0.0010152966628573135,3736,KCNA1
12078,0.0009925536794409787,4842,NOS1
13470,0.0009888357840949881,54657,UGT1A4
6400,0.0009860171472368508,2328,FMO3
16890,0.0009847520837624303,6579,SLCO1A2
9192,0.0009845003527669378,3177,SLC29A2
21389,0.0009840933840436607,94025,MUC16
6892,0.0009815367180017512,2539,G6PD
15852,0.0009791690049787741,6223,RPS19
