Index,Score,ncbi_gene_id,claim_name
162,0.027990973175218287,367,AR
184,0.015619496151148438,4780,NFE2L2
17,0.006320643667513353,10919,EHMT2
85,0.0060687203888105164,1576,CYP3A4
277,0.0035691786311985597,51053,GMNN
109,0.0032288608442398036,7421,VDR
97,0.002991273307101639,1544,CYP1A2
0,0.002932450510138368,1565,CYP2D6
528,0.002900781286161887,216,ALDH1A1
225,0.0026410205270166187,3417,IDH1
189,0.002538069153110157,1557,CYP2C19
52,0.002268222657197559,9682,KDM4A
200,0.00216335370584379,3028,HSD17B10
47,0.0021261504334361887,1559,CYP2C9
110,0.0021002167142274526,4137,MAPT
15,0.001947525432741779,29994,BAZ2B
364,0.0018163695985159902,7157,TP53
134,0.0017926114969975685,3757,KCNH2
36,0.0017532429476297474,2908,NR3C1
2,0.0017030535861970013,79915,ATAD5
96,0.0014832013560622083,6311,ATXN2
64,0.0014593523027723932,5467,PPARD
27,0.0014545923877692549,2099,ESR1
697,0.001438946398862581,366,AQP9
130,0.0014306564124621122,368,ABCC6
700,0.0013710922997678071,390245,KDM4E
228,0.001275830706583391,3248,HPGD
40,0.0012676169252090039,4088,SMAD3
102,0.001128679715099249,7398,USP1
750,0.0010667304355226701,6097,RORC
720,0.0010079438672071614,3064,HTT
275,0.0009529689117034408,10951,CBX1
430,0.0009245465582066415,11201,POLI
83,0.0009186950725106622,2237,FEN1
28,0.000917005998553684,51426,POLK
377,0.0008883715589425304,5423,POLB
357,0.000886291119341662,6256,RXRA
74,0.0008500162789487326,2740,GLP1R
135,0.0008343410074562636,246,ALOX15
782,0.0008308189167743371,387129,NPSR1
359,0.0007957658189705955,5243,ABCB1
413,0.0007865402901352023,5241,PGR
429,0.0007757513413530672,328,APEX1
339,0.0007488089196467266,5965,RECQL
212,0.00074304694941325,3320,HSP90AA1
556,0.000732275116912856,196,AHR
368,0.0007015403044407507,1812,DRD1
504,0.0006953006763126705,54737,MPHOSPH8
62,0.0006813499739749241,2648,KAT2A
343,0.0006805963809722746,5429,POLH
4,0.0006800685935144837,5594,MAPK1
30,0.0006724219250549264,3091,HIF1A
31,0.0006626712658269495,1813,DRD2
758,0.0006525705309251571,7068,THRB
378,0.0006449090009558447,6606,SMN1
84,0.0006417677230744049,6607,SMN2
219,0.0006287518530227174,7253,TSHR
696,0.0006200639985984432,5347,PLK1
772,0.0005999219814201065,23435,TARDBP
283,0.0005990175940802762,9367,RAB9A
465,0.0005826709168293915,4864,NPC1
1,0.0005734608403810567,5468,PPARG
1575,0.0005703785028524574,7849,PAX8
508,0.0005589694535619921,8856,NR1I2
63,0.0005580038825276786,5893,RAD52
3,0.0005341419912659119,5999,RGS4
175,0.0005335434088537479,4306,NR3C2
463,0.0005157565271157729,3358,HTR2C
1036,0.0005062924331154448,2100,ESR2
242,0.0004949503137999335,2475,MTOR
151,0.0004929940684672545,317,APAF1
211,0.0004926551637593304,3576,CXCL8
390,0.0004822073832901365,369,ARAF
232,0.00047887985118352425,2539,G6PD
197,0.00047670103234589024,641,BLM
168,0.00047052684579709943,3269,HRH1
221,0.0004704048528920496,627,BDNF
742,0.00046582246158460155,7066,THPO
39,0.00046560440370141957,9971,NR1H4
755,0.00045876633974927325,247,ALOX15B
238,0.00045221022291947626,1577,CYP3A5
143,0.00044349693139978855,4790,NFKB1
513,0.00043473554205429474,301,ANXA1
395,0.00043111996311354995,2554,GABRA1
730,0.0004276141449648677,55775,TDP1
265,0.00042526893847416635,29127,RACGAP1
426,0.00042468942824727376,2671,GFER
972,0.00041836894906459787,5743,PTGS2
817,0.000417670608429705,5617,PRL
169,0.0004152820347913835,1,A1BG
119,0.0004141310383496937,154,ADRB2
138,0.0004139477852142234,2555,GABRA2
518,0.00041002471444459,3356,HTR2A
615,0.0004094296757544613,2556,GABRA3
100,0.0004081199185732262,148,ADRA1A
717,0.0004054535892961638,60489,APOBEC3G
48,0.0004044936810620309,5742,PTGS1
1529,0.00040287850517885514,7486,WRN
286,0.00040201576210862494,4286,MITF
705,0.00040085960673394547,2548,GAA
326,0.0003992397932288737,2567,GABRG3
316,0.00039692628444313476,2566,GABRG2
906,0.000396423124505804,2560,GABRB1
418,0.000393498405461777,5465,PPARA
531,0.00039134339033372237,8438,RAD54L
128,0.0003911680803410705,13,AADAC
207,0.00039076219096416035,2558,GABRA5
122,0.0003907011946581464,1128,CHRM1
376,0.00038970075012851035,2559,GABRA6
216,0.0003886167136444502,5290,PIK3CA
480,0.00038828220108777387,2561,GABRB2
614,0.0003857311713299121,2557,GABRA4
757,0.0003843147604924655,14,AAMP
660,0.00038187416780729864,2562,GABRB3
104,0.00037898612505876715,2565,GABRG1
117,0.00037898612505876705,2564,GABRE
66,0.00037884110677441536,2568,GABRP
98,0.00037680773768421433,146,ADRA1D
315,0.0003765429395913723,6530,SLC6A2
722,0.00037624173100181705,26013,L3MBTL1
536,0.0003760791220172723,6331,SCN5A
561,0.0003759397389184778,15,AANAT
291,0.0003757189176550149,3315,HSPB1
281,0.00037547801170556463,2563,GABRD
258,0.0003745786915647978,55879,GABRQ
1385,0.0003729984376093598,16,AARS1
140,0.000372726250022701,673,BRAF
253,0.00036860913799107396,1814,DRD3
178,0.00036772311681249493,7153,TOP2A
180,0.00036621728848192504,6532,SLC6A4
1648,0.0003634813989123887,9970,NR1I3
571,0.00035814549516027957,1131,CHRM3
193,0.00035721179109777433,3921,RPSA
327,0.00035578170480985463,4988,OPRM1
19,0.00035302989232738184,153,ADRB1
