ncbi_gene_id,Index,Score,claim_name
367,10188,0.025274632,AR
4780,12211,0.013773271,NFE2L2
10919,2183,0.00511381,EHMT2
1576,4703,0.004892884,CYP3A4
51053,12729,0.002942103,GMNN
7421,18009,0.0026297166,VDR
216,6164,0.0023316008,ALDH1A1
1544,4654,0.0023021998,CYP1A2
1565,4600,0.002248057,CYP2D6
3417,9824,0.0021366423,IDH1
1557,4783,0.001959807,CYP2C19
9682,21729,0.0017550234,KDM4A
3028,9231,0.0016591343,HSD17B10
1559,4643,0.001617623,CYP2C9
4137,11477,0.0016008922,MAPT
29994,9006,0.00151242,BAZ2B
2908,8798,0.0014762797,NR3C1
3757,10326,0.0013683188,KCNH2
7157,17854,0.0013604751,TP53
79915,18693,0.0013309903,ATAD5
366,10714,0.0012128837,AQP9
368,10166,0.0012060486,ABCC6
5467,13543,0.0011960113,PPARD
2099,5612,0.001165888,ESR1
6311,16022,0.0011499922,ATXN2
390245,11365,0.0010111469,KDM4E
4088,11362,0.0009817303,SMAD3
3248,9502,0.0009537337,HPGD
7398,17982,0.00085212063,USP1
6097,16485,0.00084464945,RORC
3064,9786,0.000767489,HTT
6256,16235,0.00069783017,RXRA
10951,2470,0.0006860021,CBX1
2237,6026,0.00066124497,FEN1
11201,2881,0.0006569957,POLI
5423,13669,0.000639771,POLB
51426,12788,0.00063125277,POLK
387129,11141,0.0006312173,NPSR1
2740,8012,0.00061607827,GLP1R
5241,13461,0.00061078434,PGR
246,6929,0.0005902177,ALOX15
196,5801,0.0005585902,AHR
5243,13408,0.00055235846,ABCB1
3320,9548,0.0005431019,HSP90AA1
328,9732,0.00053633924,APEX1
5965,15930,0.00051799114,RECQL
5594,14474,0.0005049888,MAPK1
54737,14009,0.00048603155,MPHOSPH8
2648,7587,0.0004795765,KAT2A
3091,9143,0.00046947296,HIF1A
1812,5499,0.00046922851,DRD1
7068,18163,0.00046061532,THRB
5429,13642,0.00045682423,POLH
7253,17773,0.00043842444,TSHR
