Index,Score,ncbi_gene_id,claim_name
17056,0.029250566881183566,6714,SRC
17490,0.02898459528982285,7157,TP53
17461,0.01745061673781618,7124,TNF
13094,0.01619479081463364,5294,PIK3CG
5636,0.01612787686941709,216,ALDH1A1
3023,0.016076079792368116,12,SERPINA3
7417,0.014413192678284463,262,AMD1
15885,0.013930731524761033,627,BDNF
17513,0.013413207401335232,718,C3
5621,0.013291533176163701,214,ALCAM
4555,0.013035669228817394,1543,CYP1A1
9127,0.012074510407169574,3106,HLA-B
9913,0.012052981957380433,3552,IL1A
5673,0.012035757179678922,2194,FASN
15959,0.011923531077872014,6347,CCL2
14209,0.011887563598647548,5563,PRKAA2
12028,0.011792550939701451,4781,NFIB
12129,0.011764343722149935,4907,NT5E
5645,0.011083437138035716,217,ALDH2
1192,0.010882252637192799,10213,PSMD14
10078,0.010842453020335558,3727,JUND
5346,0.010646568907159565,2,A2M
6826,0.01059173723296438,25,ABL1
17766,0.010398777748189364,7298,TYMS
8837,0.010329149183472427,2944,GSTM1
13484,0.010181182653337933,5468,PPARG
15625,0.010084261726032141,5999,RGS4
9918,0.010027416082751262,3558,IL2
12135,0.00991953778365357,4915,NTRK2
4559,0.009850740678039314,1545,CYP1B1
11154,0.009465871151638095,4067,LYN
14224,0.009414643286888662,5565,PRKAB2
16689,0.009133769552362144,6505,SLC1A1
7982,0.009028439250195069,2784,GNB3
21444,0.008877955995145806,9429,ABCG2
6813,0.008703946726475177,2475,MTOR
6060,0.008680958490348674,2289,FKBP5
5245,0.008404309309940912,196,AHR
4618,0.008365063176464344,1576,CYP3A4
8746,0.008204637840480151,2904,GRIN2B
8842,0.007872648690555298,2950,GSTP1
4557,0.007800587347467615,1544,CYP1A2
9147,0.007763048355805653,3127,HLA-DRB5
11567,0.007140366648618526,4363,ABCC1
9128,0.00693637297832065,3107,HLA-C
13049,0.006924303164150403,5243,ABCB1
10823,0.006884248385979749,3952,LEP
4603,0.006762410624018429,1571,CYP2E1
4600,0.0066977594039637845,1565,CYP2D6
9363,0.006567142969450808,3358,HTR2C
9136,0.006527586384694915,3115,HLA-DPB1
21207,0.00652347581860494,928,CD9
9599,0.006447544839102021,3417,IDH1
5132,0.006391223382151986,1813,DRD2
4596,0.006168058437629708,1559,CYP2C9
2195,0.006063993220068383,10951,CBX1
5627,0.0058977358962531545,215,ABCD1
4540,0.005845843718237848,154,ADRB2
9369,0.005710480347404182,3363,HTR7
9187,0.0057014567003929985,3176,HNMT
12123,0.0056774836323039285,490,ATP2B1
13122,0.0056467872154582896,5325,PLAGL1
6341,0.005636481773558272,23216,TBC1D1
9361,0.005553985135250866,3356,HTR2A
20946,0.0053824466953734116,9135,RABEP1
9326,0.005349374431825637,3308,HSPA4
9295,0.005314183745381763,3269,HRH1
8839,0.0052059024450824744,2947,GSTM3
4332,0.0050264619789419755,150,ADRA2A
5654,0.004987261959073663,218,ALDH3A1
7609,0.004981220928716745,2668,GDNF
8843,0.004881230469802738,2952,GSTT1
12017,0.00475643678137033,477,ATP1A2
4594,0.0046876380792286,1557,CYP2C19
2542,0.00461084595520393,1128,CHRM1
17419,0.004602914721934852,7082,TJP1
5134,0.004595213636722387,1815,DRD4
9145,0.004584050099469815,3125,HLA-DRB3
10026,0.004566619045316805,367,AR
17831,0.004522169901737822,7334,UBE2N
7512,0.004473416453595418,2641,GCG
13471,0.004389244632377408,54658,UGT1A1
20545,0.0043413857016226945,887,CCKBR
5641,0.004340140396011175,2166,FAAH
7267,0.00423240088314913,25970,SH2B1
4228,0.004227872323370036,148,ADRA1A
13479,0.004205888984032161,5467,PPARD
9356,0.004177185790796629,3350,HTR1A
5131,0.004048092404267863,1812,DRD1
11836,0.00399097243933817,4524,MTHFR
2166,0.003986450516011245,10919,EHMT2
4574,0.003962471206551092,155,ADRB3
6933,0.003867982800168656,2548,GAA
4598,0.003855081621601613,1562,CYP2C18
14573,0.00385410570468278,5617,PRL
13437,0.003849292600253274,54575,UGT1A10
4454,0.003831598839721856,152,ADRA2C
12452,0.0037820928055453977,51053,GMNN
12072,0.003746630784675219,4835,NQO2
17856,0.0036989605691856247,7365,UGT2B10
15364,0.003689387556558345,5799,PTPRN2
4606,0.003680694482539424,1573,CYP2J2
6382,0.003607985567487479,2326,FMO1
10192,0.003558580603402284,3757,KCNH2
16772,0.0035437723529400545,6531,SLC6A3
5755,0.0035203945532359068,22,ABCB7
11415,0.0034831217109494808,4160,MC4R
13470,0.003457422873913034,54657,UGT1A4
7938,0.0034313725213619252,2740,GLP1R
14376,0.0033976171907316665,5581,PRKCE
7288,0.003338135010089209,26,AOC1
16785,0.0032362263696276193,6532,SLC6A4
9066,0.003220915616769198,3064,HTT
12142,0.0032121399986842405,4922,NTS
4156,0.0031633399091905746,147,ADRA1B
0,0.0031424771492726505,1,A1BG
10204,0.003027610767308634,3760,KCNJ3
12130,0.0030199012417753608,4908,NTF3
6400,0.002987818270183096,2328,FMO3
2571,0.002986956283846565,1131,CHRM3
3510,0.0029295840711648013,13,AADAC
12377,0.0029264464890666675,50852,TRAT1
5319,0.0029232010518108397,1993,ELAVL2
7720,0.002797752840426084,27,ABL2
16892,0.002717145254087294,6580,SLC22A1
17506,0.002714502582626077,7172,TPMT
20529,0.0026674082335824494,885,CCK
7491,0.0026581536514307786,26298,EHF
8616,0.002616234081929383,28755,TRAC
