	index	score_df1	claim_name	ncbi_gene_id_df1	ncbi_gene_id_df2	score_df2	score_ratio	Category	Bipolar Linked Paper	Bipolar Linked?
8	463	0.002482683333	HTR2C	3358	3358	0.0002442321726	10.16525918	Neuro	https://pmc.ncbi.nlm.nih.gov/articles/PMC7478333/	T
17	2973	0.001743520847	EPM2A	7957	7957	0.0001773404551	9.831489641	Neuro	https://pmc.ncbi.nlm.nih.gov/articles/PMC7022469/	M
19	935	0.001692307539	RABEP1	9135	9135	0.0001791183163	9.447987085	Transport	https://www.pharmgkb.org/clinicalAnnotation/1449005382	M
18	934	0.001692307539	SH2B1	25970	25970	0.0001794674329	9.429607987	Signaling	https://pubmed.ncbi.nlm.nih.gov/31754094/	T
13	393	0.001972646128	MTHFR	4524	4524	0.0002364957609	8.341147939	Metabolism	https://pmc.ncbi.nlm.nih.gov/articles/PMC9433753/	T
14	665	0.001808900181	HTR7	3363	3363	0.0002200913947	8.218859183	Neuro	https://pubmed.ncbi.nlm.nih.gov/30874608/#:~:text=A%20functional%20variant%20in%20the,in%20bipolar%20and%20unipolar%20depression	T
7	1299	0.002482683333	SERPINA3	12	12	0.0003167583914	7.837782361	Immune	https://www.sciencedirect.com/science/article/pii/S0889159122001647	T
16	820	0.001797977674	CYP1A1	1543	1543	0.0002312267737	7.775819579	Metabolism	https://pmc.ncbi.nlm.nih.gov/articles/PMC7022469/	M
36	2538	0.001233435877	MIR1912	100302144	100302144	0.0001696726768	7.269502079	Gene Regulation		F
35	2618	0.001233435877	MIR1264	100302251	100302251	0.0001696726768	7.269502079	Gene Regulation		F
6	1333	0.002482683333	ABCD1	215	215	0.0003428898997	7.240467961	Metabolism	https://pmc.ncbi.nlm.nih.gov/articles/PMC11943623/	T
11	127	0.002081887483	NATP	11	11	0.0002943932737	7.071790252	Metabolism		F
27	991	0.001310083881	HLA-C	3107	3107	0.0001862849121	7.032689153	Immune	https://pmc.ncbi.nlm.nih.gov/articles/PMC7534661/	T
5	366	0.002482683333	AMD1	262	262	0.0003572458658	6.949508925	Stem Cell	https://pmc.ncbi.nlm.nih.gov/articles/PMC10189518/	M
34	927	0.001233435877	SLC1A1	6505	6505	0.000182188294	6.77011596	Neuro	https://pubmed.ncbi.nlm.nih.gov/23341099/	T
15	1028	0.001808900181	DRD4	1815	1815	0.0002704648401	6.688115838	Neuro	https://pubmed.ncbi.nlm.nih.gov/12232779/	T
9	518	0.002369357038	HTR2A	3356	3356	0.000360868946	6.565699444	Neuro	https://pubmed.ncbi.nlm.nih.gov/19584773/	T
37	4260	0.001199084697	EIF2AK4	440275	440275	0.0001829337154	6.554749594	Cell Response	https://pubmed.ncbi.nlm.nih.gov/39025441/	T
44	1664	0.001131850682	PRKAA2	5563	5563	0.0001745389175	6.484804063	Metabolism	https://pmc.ncbi.nlm.nih.gov/articles/PMC10914626/	T
29	1027	0.00129881521	MC4R	4160	4160	0.0002028360024	6.403277501	Metabolism		F
28	132	0.00129881521	HTR1A	3350	3350	0.0002190333233	5.929760781	Neuro	https://pubmed.ncbi.nlm.nih.gov/20594600/	T
40	61	0.001171969227	LEP	3952	3952	0.0002021322255	5.798032573	Metabolism	https://pubmed.ncbi.nlm.nih.gov/36077028/	M
42	1016	0.00115258647	UGT1A5	54579	54579	0.0002005737601	5.746446941	Metabolism		F
3	31	0.002707723674	DRD2	1813	1813	0.0004811893816	5.627147601	Neuro	https://pubmed.ncbi.nlm.nih.gov/22514151/	T
67	1551	0.0009381379063	NFIB	4781	4781	0.0001708109683	5.492257996	Cancer		F
41	605	0.001171969227	GRIN2B	2904	2904	0.0002162144637	5.42040161	Neuro	https://www.sciencedirect.com/science/article/pii/S0165178109004429#:~:text=Abstract,et%20al.%2C%201996).	T
88	2914	0.0008980193607	TBC1D1	23216	23216	0.0001674137059	5.364073126	Metabolism		F
32	2068	0.001238116189	NTS	4922	4922	0.0002327774169	5.318884474	Neuro		F
92	2811	0.0008980193607	PRKAB2	5565	5565	0.000169482207	5.298605539	Metabolism		F
81	2525	0.0009140491097	PSORS1C3	100130889	100130889	0.0001739788002	5.253795913	Immune		F
80	425	0.0009140491097	CYCSP5	360158	360158	0.0001739788002	5.253795913	Gene Regulation		F
58	1728	0.0009718160072	HLA-DQB1	3119	3119	0.0001864344215	5.212642597	Immune	https://www.researchgate.net/publication/325574706_HLA_genetics_in_bipolar_disorder	T
79	869	0.0009140491097	POU5F1	5460	5460	0.0001755242791	5.207536613	Stem Cell		F
89	1769	0.0008980193607	UGT2B10	7365	7365	0.0001731374217	5.186743293	Metabolism		F
26	949	0.001353902179	UGT1A1	54658	54658	0.0002649626993	5.109784065	Metabolism	https://pubmed.ncbi.nlm.nih.gov/31096178/	T
24	706	0.001448222877	ABCG2	9429	9429	0.0002836699847	5.105308827	Cancer	https://pmc.ncbi.nlm.nih.gov/articles/PMC7022469/	M
43	944	0.00115258647	UGT1A3	54659	54659	0.0002277948238	5.059757071	Metabolism		F
113	540	0.0008324644851	GABRR1	2569	2569	0.000165873935	5.018657605	Neuro	https://pubmed.ncbi.nlm.nih.gov/20583128/	T
53	1686	0.001013075847	CYP2E1	1571	1571	0.0002072601159	4.887944035			
97	147	0.0008636681811	HTR1D	3352	3352	0.0001778195595	4.856992016			
94	1068	0.0008980193607	CCKBR	887	887	0.0001852489217	4.847636103			
69	824	0.0009381379063	CYP3A43	64816	64816	0.0001967619584	4.767882543			
49	476	0.001018485663	UGT1A4	54657	54657	0.0002152231848	4.732230236			
10	169	0.002144316697	A1BG	1	1	0.0004571930495	4.690177812			
78	989	0.0009187551494	UGT1A6	54578	54578	0.0001967577408	4.669473971			
77	969	0.0009187551494	UGT1A8	54576	54576	0.0001967808148	4.668926441			
121	2212	0.0008277617318	FKBP5	2289	2289	0.0001809067419	4.575626773			
20	427	0.001634231726	A2M	2	2	0.00036237969	4.509722183			
93	570	0.0008980193607	FAAH	2166	2166	0.0001992561913	4.506858003			
76	907	0.0009187551494	UGT1A10	54575	54575	0.0002039259181	4.50533781			
75	990	0.0009187551494	UGT1A7	54577	54577	0.0002044976465	4.492741922			
101	345	0.0008324644851	TSPO	706	706	0.0001872198567	4.446454023			
71	1581	0.0009381379063	FASN	2194	2194	0.0002114587055	4.436506428			
45	336	0.001112806361	AOC1	26	26	0.0002529477884	4.399352008			
72	929	0.0009334318666	HLA-B	3106	3106	0.0002128746272	4.3848902			
46	1334	0.001112806361	ALDH3A1	218	218	0.0002544916079	4.372664269			
21	296	0.001634231726	A2MP1	3	3	0.0003847267625	4.247772407			
62	1484	0.0009718160072	HLA-DRB1	3123	3123	0.0002288621387	4.246294353			
120	545	0.0008277617318	NTRK2	4915	4915	0.000200707331	4.124222706			
90	1110	0.0008980193607	GCG	2641	2641	0.0002180159585	4.119053334			
30	168	0.00129881521	HRH1	3269	3269	0.0003218607989	4.03533209			
74	1000	0.0009187551494	UGT1A9	54600	54600	0.0002289026662	4.013737213			
25	253	0.001373753151	DRD3	1814	1814	0.0003431350946	4.003534389			
87	1779	0.0008980193607	HTR3A	3359	3359	0.0002251619553	3.988326356			
128	4231	0.0006776593315	CCK	885	885	0.0001711894334	3.958534811			
124	996	0.0007233251788	TNFRSF1B	7133	7133	0.0001846291717	3.917718809			
131	3825	0.0006411055309	PPT1	5538	5538	0.000167471601	3.828144754			
119	1935	0.0008324644851	BMAL1	406	406	0.0002217227284	3.754529322			
31	462	0.001267611514	NAT2	10	10	0.00033889988	3.740371683			
85	1694	0.0009026996729	HSPA4	3308	3308	0.0002426591237	3.720031866			
