Index_df1	Score_df1	ncbi_gene_id_df1	claim_name	Index_df2	Score_df2	ncbi_gene_id_df2	score_ratio
536	0.001196856348575382	6331	SCN5A	536	0.00016757436112274822	6331	7.142240260123591
621	0.0009718160071705867	6328	SCN3A	621	0.00016757436112274822	6328	5.799312022790477
1728	0.0009718160071705867	3119	HLA-DQB1	1728	0.00016757436112274822	3119	5.799312022790477
479	0.0009718160071705867	6323	SCN1A	479	0.00016757436112274822	6323	5.799312022790477
620	0.0009718160071705867	6334	SCN8A	620	0.00016757436112274822	6334	5.799312022790477
619	0.0009718160071705867	6329	SCN4A	619	0.00016757436112274822	6329	5.799312022790477
494	0.0009718160071705867	6326	SCN2A	494	0.00016757436112274822	6326	5.799312022790477
349	0.0009718160071705867	6332	SCN7A	349	0.00016757436112274822	6332	5.799312022790477
20	0.0009718160071705867	6336	SCN10A	20	0.00016757436112274822	6336	5.799312022790477
1484	0.0009718160071705867	3123	HLA-DRB1	1484	0.00016757436112274822	3123	5.799312022790477
399	0.0009718160071705867	11280	SCN11A	399	0.00016757436112274822	11280	5.799312022790477
436	0.0009718160071705867	6335	SCN9A	436	0.00016757436112274822	6335	5.799312022790477
869	0.0009140491096763543	5460	POU5F1	869	0.00016757436112274822	5460	5.454588061993644
2525	0.0009140491096763543	100130889	PSORS1C3	2525	0.00016757436112274822	100130889	5.454588061993644
425	0.0009140491096763543	360158	CYCSP5	425	0.00016757436112274822	360158	5.454588061993644
117	0.0008324644851382815	2564	GABRE	117	0.00016757436112274822	2564	4.967731815062695
480	0.0008324644851382815	2561	GABRB2	480	0.00016757436112274822	2561	4.967731815062695
376	0.0008324644851382815	2559	GABRA6	376	0.00016757436112274822	2559	4.967731815062695
345	0.0008324644851382815	706	TSPO	345	0.00016757436112274822	706	4.967731815062695
258	0.0008324644851382815	55879	GABRQ	258	0.00016757436112274822	55879	4.967731815062695
137	0.0008324644851382815	2570	GABRR2	137	0.00016757436112274822	2570	4.967731815062695
66	0.0008324644851382815	2568	GABRP	66	0.00016757436112274822	2568	4.967731815062695
614	0.0008324644851382815	2557	GABRA4	614	0.00016757436112274822	2557	4.967731815062695
326	0.0008324644851382815	2567	GABRG3	326	0.00016757436112274822	2567	4.967731815062695
615	0.0008324644851382815	2556	GABRA3	615	0.00016757436112274822	2556	4.967731815062695
