Index_df1	Score_df1	ncbi_gene_id_df1	claim_name	Index_df2	Score_df2	ncbi_gene_id_df2	score_ratio
1299	0.005167853730234102	12	SERPINA3	1299	0.0002867832324478575	12	18.020069325962822
127	0.004467955008234977	11	NATP	127	0.0002768971880678912	11	16.135790469419643
665	0.003460773533765565	3363	HTR7	665	0.00023680187158217657	3363	14.61463758982405
366	0.004211135262046216	262	AMD1	366	0.00035178869528949884	262	11.970638392972605
2973	0.0021167748665504213	7957	EPM2A	2973	0.00017916921966720835	7957	11.814389047862973
1028	0.003363781697018498	1815	DRD4	1028	0.00029556135937790456	1815	11.380992779633177
518	0.0046331186881782525	3356	HTR2A	518	0.00041002471444459	3356	11.299608352765194
169	0.0046331186881782525	1	A1BG	169	0.0004152820347913835	1	11.15655939825496
253	0.0038545611696350975	1814	DRD3	253	0.000368609137991074	1814	10.457041815736096
1333	0.003351408630605397	215	ABCD1	1333	0.0003280455815156897	215	10.216289501966989
132	0.002753752355198344	3350	HTR1A	132	0.0002729387995772606	3350	10.089266749408566
463	0.005167853730234102	3358	HTR2C	463	0.0005157565271157728	3358	10.019948286711774
4260	0.0016437134144110408	440275	EIF2AK4	4260	0.00017924216015436514	440275	9.170350396332305
1027	0.0017970338870104585	4160	MC4R	1027	0.0002040437331286225	4160	8.80710159266527
1334	0.002200261166702074	218	ALDH3A1	1334	0.00025401985579829244	218	8.66176842667456
657	0.0015879146376279333	3362	HTR6	657	0.00018567384031108148	3362	8.552172104414444
2618	0.0014097536879832016	100302251	MIR1264	2618	0.00017157176937741744	100302251	8.216699595153536
2538	0.0014097536879832016	100302144	MIR1912	2538	0.00017157176937741744	100302144	8.216699595153536
31	0.005167853730234101	1813	DRD2	31	0.0006626712658269495	1813	7.798517902817349
935	0.0014097536879832016	9135	RABEP1	935	0.00018112378666973892	9135	7.783371327995401
934	0.0014097536879832016	25970	SH2B1	934	0.00018129034591972716	25970	7.7762204094829235
100	0.003147539991067877	148	ADRA1A	100	0.0004081199185732262	148	7.712292019638672
393	0.001804156343578554	4524	MTHFR	393	0.00023674094759553368	4524	7.620803928946472
371	0.002200261166702074	214	ALCAM	371	0.00029308611540659055	214	7.507217336616954
927	0.0014097536879832016	6505	SLC1A1	927	0.00018980068608228563	6505	7.4275479034465715
147	0.0013310948914391724	3352	HTR1D	147	0.00019036757725083677	3352	6.992235288498013
3665	0.0011242928293106339	56853	CELF4	3665	0.00016861689765840533	56853	6.667735232493108
3855	0.0011242928293106339	386607	ZFP91-CNTF	3855	0.00016861689765840533	386607	6.667735232493108
4002	0.0011242928293106339	375298	CERKL	4002	0.00016861689765840533	375298	6.667735232493108
3864	0.0011242928293106339	80224	NUBPL	3864	0.00016861689765840533	80224	6.667735232493108
3667	0.0011242928293106339	1270	CNTF	3667	0.00016922338138815275	1270	6.6438385764896735
3599	0.0011242928293106339	10718	NRG3	3599	0.00017279180423514004	10718	6.506632848052584
2914	0.001097135165011333	23216	TBC1D1	2914	0.00016951158697827172	23216	6.472331387894833
427	0.0021096524099823264	2	A2M	427	0.0003267937369049952	2	6.4556084518707895
2811	0.001097135165011333	5565	PRKAB2	2811	0.00017143945606397075	5565	6.399548798159679
1769	0.001097135165011333	7365	UGT2B10	1769	0.0001750020804166109	7365	6.269269270396599
1664	0.001097135165011333	5563	PRKAA2	1664	0.00017726517926077925	5563	6.189231125856422
820	0.0014097536879832016	1543	CYP1A1	820	0.00023050884788522734	1543	6.115833300616434
296	0.0021096524099823264	3	A2MP1	296	0.00034741530868509317	3	6.072422133517938
168	0.002753752355198344	3269	HRH1	168	0.0004705268457970993	3269	5.85248722744678
706	0.0016531530582331233	9429	ABCG2	706	0.0002877448787613419	9429	5.745204103542926
1686	0.0011872140626618373	1571	CYP2E1	1686	0.0002086317747880889	1571	5.690475786191783
607	0.0015879146376279333	152	ADRA2C	607	0.0002858921143417744	152	5.554244268974957
1551	0.000946131879665902	4781	NFIB	1551	0.0001729413501077643	4781	5.470825103865225
570	0.001097135165011333	2166	FAAH	570	0.00020070234045729712	2166	5.466479177629558
336	0.001340534535261255	26	AOC1	336	0.00025301580209010385	26	5.298224554306156
2068	0.0011872140626618373	4922	NTS	2068	0.00023406524033751095	4922	5.072150230209027
4231	0.0008745955396899692	885	CCK	4231	0.00017273317401384663	885	5.063274872838613
4524	0.0008674730831218732	1002	CDH4	4524	0.00017286000218645213	1002	5.018356312330657
4467	0.0008674730831218732	152330	CNTN4	4467	0.00017286000218645213	152330	5.018356312330657
4411	0.0008674730831218732	26298	EHF	4411	0.00017286000218645213	26298	5.018356312330657
3503	0.0008674730831218732	259232	NALCN	3503	0.00017464111577729258	259232	4.967175566079755
368	0.003448315306695888	1812	DRD1	368	0.0007015403044407508	1812	4.915348818689459
